"tau","beta","kappa"
0.976492481136472,0.0516041736389169,0.795883678692209
0.96498615583614,0.0886037744437973,0.813132037986805
1.28786006804754,0.0706281674599785,0.658211234594602
0.922269412584933,0.155937204087063,0.829462016903674
1.28022896998683,0.169140626525009,0.765181773663457
1.00981833199124,0.102777356767941,0.824805979876607
1.06046346664049,0.196634252852165,0.797621475831968
1.15206183768637,0.090121754665771,0.736490887994882
1.20191129212799,0.20862495061101,0.749392974952462
1.08028732360083,0.055665120412222,0.756472650225241
1.01644124445206,0.0290394573916267,0.784286662892177
1.01329688223109,0.104635437273193,0.78086140090158
1.4695716701052,0.028128792031081,0.710029267935044
1.21671702795176,0.103746168856808,0.767447051232462
0.968911736968777,0.0480692112504688,0.826359903769036
1.16160980132172,0.0982932266712762,0.767119125637186
1.07003229266095,0.0368649156216103,0.774445132238416
0.941970394499366,0.107856851604449,0.812505892814616
1.13901905774039,0.136438146011789,0.80720733619831
1.01755871979781,0.121245939324335,0.805957528642676
1.19824224704115,0.152921225046274,0.775273397029043
0.887217782676279,0.0720486156784681,0.824382861703033
1.12485228271459,0.112966333188917,0.784345804694289
1.34600629447849,0.104166760002241,0.710660727756128
1.36736396140517,0.110734470629037,0.680223582459034
0.726493845686747,0.190064124945565,0.845558281104008
0.940210245731749,0.133828751983055,0.826273051416898
0.899902400075371,0.0630462746465998,0.839303142843684
1.31060635674883,0.0828874921357564,0.714340375599645
1.47177976304276,0.115762703716341,0.690802570789335
1.34534782234684,0.0946462790815987,0.725663168363205
0.533318891863721,0.104860082746503,0.875856868746806
1.30129507380824,0.0910623896034363,0.735078364452721
1.02765452056454,0.116412050323264,0.814368764348892
1.33331744035516,0.182426874751524,0.732694979880681
1.16071135965396,0.0926243805493082,0.7540865763445
1.27626880559484,0.0351805787094575,0.745153992493043
1.07216977678809,0.0826239361862698,0.789770632002335
1.00464077752861,0.0954459691252181,0.799872355073983
1.16478556939534,0.160661361014013,0.764974663156712
1.30596524032081,0.0768652749138984,0.790576452802949
0.599117329837708,0.159883775506259,0.887299223130604
0.708079512349612,0.0376208127555965,0.866601448313939
0.819991132301578,0.156015424674334,0.834278267521912
1.14816630291938,0.0358762450087671,0.808127288950639
0.69246909308681,0.140103113619728,0.854032653227907
0.833411003802748,0.0338387925709489,0.84923824099082
1.16541084727514,0.129436751864896,0.763704207770653
0.540218513586169,0.111367080481622,0.889751323757925
1.0800287595369,0.0619587139793156,0.755428270032404
0.639984029849459,0.204292578089027,0.835225532994475
1.3485211779849,0.0982093802662292,0.746709019912679
1.29823153329717,0.072045109304258,0.757611737621887
0.749052978468307,0.207503976874681,0.860459579271925
0.956904711829449,0.079481553300262,0.831530860593407
1.0183742862817,0.0436889604027412,0.813893588033315
1.38929081754543,0.0148102423817179,0.722141836490915
0.856147088948124,0.217679359737698,0.795961132281191
1.25655284256336,0.104921061852206,0.765568499521761
0.609117426456324,0.107498258614187,0.894029675285956
1.52244477438173,0.0827081319931195,0.682294496164079
1.26700768714365,0.0637471007949577,0.746598462571269
1.53729829130648,0.166940529265723,0.704138127154257
0.924890196924742,0.0937757104236797,0.833293043092152
1.46547097619986,0.0990055589234857,0.725567232921375
0.864946875217708,0.0763235044909401,0.799223102317152
1.26818095326296,0,0.699767766746459
1.52329488361867,0.157139063515686,0.707283842502177
0.835211929657749,0.147653923417744,0.828287021040759
1.17934129741835,0.166067023224791,0.763942894832196
0.986952793850034,0.0449287455981341,0.788932251101362
0.95651039287699,0.0318549324753227,0.822077679896393
0.800208503778353,0.104856414003887,0.855973991400584
0.745039823103241,0.135602617593205,0.855275869638065
0.792892445257039,0.129465877926216,0.817305888189622
1.03016634738695,0.127611484412469,0.779123853476212
1.04640058703443,0.0851529680649736,0.797679700882748
0.947119828214328,0.0901782352779996,0.80686789799871
1.30228903401433,0.205631764396464,0.730039586647112
1.09155196124723,0.129695062709121,0.772593341406827
1.27871490748416,0.0805772273342549,0.746487924765234
0.692151616684802,0.0496020013434735,0.848345395117265
1.60109811069211,0.0423712990197453,0.684574840289183
1.30206379529823,0.0358955767392066,0.756714537500331
1.06549813210631,0.0954232442344248,0.754267035953342
1.15223894304696,0.109330282838758,0.779264570297518
0.74453298925066,0.143728275560246,0.837721667556526
0.726046649917866,0.043740801938793,0.851097897883949
1.62268220151561,0.0654568472809889,0.654159803598548
1.56383198468425,0.0466471696929368,0.707147568411189
1.121529415336,0.0888416631624603,0.764977071388097
1.6159957580882,0.145281999287203,0.705325354104997
1.09427019474112,0.0642925960051729,0.787767611570768
0.871711667326847,0.124641072202706,0.845441193736375
0.356105249495233,0.273248568037566,0.931200685955326
1.40616019543877,0.123806003073507,0.749079194247186
0.852409376537586,0.107932031362964,0.784962316716048
0.672253663340453,0.122272996574807,0.869919956783968
1.03830496672925,0.118010599089601,0.787058046199907
1.49668913166845,0.0797184576399709,0.682635892351898
0.413924070221355,0.179155213784174,0.925122273838395
0.940581132057836,0.0870021139863398,0.82253186187588
1.26014502833072,0.0399608684727222,0.76594631717483
1.316591635704,0.0754589142741795,0.748357867793578
1.26079464615416,0.168894598667589,0.757725855850468
1.19636335345634,0.086345186961779,0.709620545277588
1.13109450659705,0.0465306199653082,0.762972651593241
1.02702248736513,0.245391176679052,0.782778661724802
1.33578554205904,0.108568915573924,0.753908337866795
0.699210005053546,0.142756687505076,0.857768509956561
0.736359630694702,0.131211864117495,0.866018990048271
1.08409002726342,0.0883702797842276,0.80188413244455
1.68791511320991,0.0505697279516378,0.680076741241488
0.625397982356086,0.0807104053195909,0.870141614959284
0.712638386262335,0.0826311936578282,0.856438681252551
0.97282248070341,0.143540608440786,0.842687179705141
0.692740968345117,0.13265585185996,0.847949743559017
0.981094120912276,0.0520409346671995,0.806566616539378
0.896207862307413,0.0977609725091534,0.789819919721526
1.60441861323831,0.0225517441171083,0.669055566576257
0.91336668112713,0.10211746592011,0.809078871001854
1.66988145221636,0.121621530242334,0.648889518036931
1.19072563567317,0.0449660230127638,0.755196209771142
1.02938285175955,0.0791881479559216,0.790775843138303
1.27732449621979,0.104063932504563,0.754171575015437
1.38416798173188,0.206834942616152,0.740792512784292
1.06403095713611,0.0877912337661986,0.778879684718181
1.33159621903544,0.135794361289371,0.732396258232427
1.24542645705938,0.142979381160109,0.740752194617115
1.18553133668419,0.0304553706836718,0.796998058786954
1.08606450737665,0.0731635704968782,0.759720241730829
1.12279070981191,0.150186427149875,0.739853867050067
0.600197559482085,0.15359378140832,0.880438733170899
0.726611467536724,0.142896884179661,0.860159455824341
1.21431271916155,0.10335934585626,0.731821395944887
1.48476879949707,0.0404999361082916,0.699682686185869
1.21096545393357,0.0680020617873054,0.735365941011021
1.04035290818779,0.121437957470442,0.820381058669235
0.943653350516718,0.167991726912833,0.789363091402518
1.11181303800664,0.0716509603592848,0.806034012908821
1.09965806625745,0.184070197196757,0.779715932240095
1.21423922902806,0.0597674412551102,0.772614376586505
1.62540169377601,0.21051784255591,0.716235737818434
1.0800821393007,0.152399324374395,0.792131997825115
1.26615773833466,0.127635679815922,0.734891595826075
1.03310673005309,0.18556848724887,0.768569280902085
0.614519223062961,0.162523853940003,0.888915541745669
1.25132701595585,0.099453736225667,0.752702170759714
1.29126768165452,0.0725617601218339,0.758911933970403
1.63449674446456,0.0830479930434938,0.693455224218949
0.681093898848232,0.0589287110236404,0.857987093651328
0.804103477258452,0.167171436621903,0.825346768623273
0.958683643694708,0.0823403594175069,0.811579472544279
1.34634371023949,0.124905301296105,0.748252858967934
0.868551582078474,0.0767774248902722,0.827531457093234
0.85242078381486,0.106052597605309,0.811076953941742
0.933003936272519,0.120829940214501,0.798225792328607
0.978659496526263,0.0562542015398596,0.814647822627602
0.85228259096447,0.0698639316784352,0.806826248648126
0.45442581896305,0.166429679320591,0.904452098620048
1.30067211232467,0.0539301525223245,0.741725156408923
1.49375038277743,0.114246964075237,0.665078389511787
1.13611027976849,0.0956419203078256,0.770018161990185
1.71871723201955,0.0704074101971274,0.674485372723571
0.429154005116499,0.19137039517176,0.909917295315597
0.757229036497699,0.092831212388307,0.853703818296426
1.20421260723936,0.0563008866020216,0.755638675479027
1.15781443758877,0.176773121372375,0.799686083462151
0.811079788804381,0.11667701480847,0.825198321378366
1.41958712873211,0.0115998626661598,0.732557059394854
0.800624504322814,0.126764839611128,0.818699161158783
1.06427102469823,0.0300879937610155,0.793104388666751
1.01809906289143,0.172435693535349,0.804662497526587
0.991265832943937,0.12141459887843,0.792274553029351
0.895387099513334,0.0896109510278955,0.822765815614938
0.749841192187439,0.132486243491414,0.852741321251485
1.46014527613472,0.164702442228613,0.735480928236464
1.39503866514691,0.0950060511324076,0.739537217112227
1.16181300695576,0.0415958269257445,0.793124464573405
1.0342562720641,0.0823514876631277,0.795924176782932
0.955858239421484,0.197768141160512,0.813890529707655
1.62039073161896,0.0156498427414521,0.662699681178401
1.50243668396663,0.217505459654669,0.698548016860627
1.14203275619766,0.0909647329025128,0.760077152059315
0.774802096904253,0.0898128757405097,0.866780932444248
0.817376306987622,0.18824403279384,0.834136301341798
1.05528565515585,0.0755898014106848,0.748741510677178
1.68630790396576,0.144525361724876,0.651589276040132
1.23261070771856,0.13146361317481,0.742991929166273
1.40047813773169,0.0929484811409644,0.720351809558369
0.8871275529823,0.163481793384748,0.811249456812276
1.16110922571461,0.0492038313131581,0.773927331441858
1.16581945735287,0.0848561064801456,0.749609223077133
1.01872403920577,0.122347877382003,0.815314713704538
0.842745783474011,0.049454922673257,0.829541710462376
0.602564217205889,0.116318917901097,0.863426061376725
0.639338377459769,0.225168618967927,0.86028444548519
1.42240314138321,0.168397938159723,0.714147278660931
1.28976602937926,0.0227146974047893,0.75919230220701
0.751843202980285,0.121780852303445,0.845553984597312
1.57978100688881,0.0827316382361348,0.646423230329272
0.921891500857819,0.017486118896976,0.805508122181895
1.261123922926,0.0438469488641795,0.751747259266535
0.994712839417265,0.147925764033748,0.813023902365176
1.55683865849077,0.136133002996205,0.682795709353959
1.14521273801672,0.0573931762869776,0.778574489942629
0.962656053779628,0.0541206579353181,0.763125971018793
1.10458667521622,0.162155809752294,0.773650271472085
1.17178747011787,0.0868122394893779,0.797967677565884
0.972686823323967,0.0703589443546094,0.798365086375629
1.22639141161201,0.0753339796004218,0.753538703454178
1.19128901271376,0.0842086554326044,0.762691431730326
0.550482958420621,0.12986413837434,0.887564755224547
0.885590990288699,0.0576548871257248,0.814263634587102
1.48583887638437,0.0252217301165265,0.729256764507221
0.894178196816856,0.130879517239927,0.850070724879803
1.13241309935627,0.0649173450170982,0.755523942280598
1.16651339491756,0.059823769989269,0.794047776321052
0.924652936089058,0.0937310307655891,0.785761599608652
1.24841582272311,0.0977265100438672,0.712875845739856
1.1580408260452,0.11804331579622,0.765007949260308
1.48312291216864,0.0540161109248779,0.730537261597267
1.74236009453319,0.129732381991481,0.643834813055357
1.36290100198529,0.0160846564692183,0.733391822772832
1.08912258148201,0.0928498771491731,0.817015695315523
0.864606998256359,0.0660769380240323,0.823405433362672
1.69349707090273,0.0570040795920668,0.681194075507769
1.17188402058915,0.0468745288141003,0.73022927702828
1.16785891881009,0.0704816165951389,0.752572262963964
0.678020228342631,0.087944274463487,0.831505907469525
0.891930999965582,0.0724258390266944,0.805933202792519
0.936989840148697,0.0722720896812906,0.810785573475627
0.789578669789548,0.0212421062660532,0.84626583532135
1.39578888399473,0.0931398022424156,0.727171836592116
0.713750807908307,0.0985291519792615,0.859165191809726
1.27729720224403,0.0373319021916404,0.727306318906057
1.05988861112136,0.190819695935838,0.782274319818949
1.18631215400754,0.143630580391309,0.7783422731675
1.13645350524915,0.0933166935678654,0.783450170493682
1.09062969792157,0.0684947080769823,0.783605218666355
1.03779620768721,0.149031819909359,0.794088054030315
0.739939987464582,0.0952427179959504,0.826468108005492
0.943369304430087,0.185132069024938,0.807475652157125
1.10593204526672,0.0500235032077184,0.772441965994502
1.62491300543665,0.129116914519926,0.678107566276416
0.831243872380355,0.117796639841052,0.824186998227505
1.33175725578141,0.130122384033837,0.694831059628458
0.923820224352894,0.160590433426627,0.794341000811911
1.16094265631414,0.133832575364379,0.782432035923137
1.06475452900788,0.102954831368341,0.767926214252859
0.810541933722575,0.168282884450383,0.834987391343124
0.91769771260668,0.141532341325792,0.812867513742521
1.10706106610136,0.0978856952855052,0.761819908325869
0.697943669334762,0.119090424656813,0.844763418742268
1.31465812891077,0.11112408593009,0.737907071588762
0.923421002661441,0.307991170952237,0.816198048833312
0.723313004080956,0.15836857027312,0.863834148328133
1.35037311257356,0.0736951114418134,0.756952283554075
0.962074975536009,0.112115351597759,0.790123260136124
1.52802561101767,0.0920333160921055,0.671250944273306
1.27439171532688,0.0477464573830538,0.677532460696641
0.889061116345959,0.228235457223121,0.802255089780703
1.02884013892808,0.0578824063175876,0.769731392361665
1.06645525474211,0.0763563634693492,0.800139569950879
0.942503328467204,0.0737095216033568,0.801995099061512
0.982882490314952,0.0995680753966246,0.789982373864326
0.563926859157641,0.121178843466671,0.88556678994366
0.995586906962315,0.0390557280583516,0.816718168821371
0.35055800610051,0.200176451308853,0.923392044121392
1.21427551100211,0.117385521255198,0.766305713817917
1.04133386494568,0.0728345994040119,0.76961640156069
1.09916969745339,0.14340535142296,0.806074506447885
0.801154229797816,0.0820241155336583,0.842540442256719
0.973123359086947,0.0971222489289914,0.807683130615228
1.37820077398611,0.043571496089536,0.703740160364121
1.28577997993339,0.0747753007627369,0.731008372398873
0.69459003301112,0.10382147810099,0.855052163395008
0.949051917927595,0.0687510100220859,0.768523922456684
1.10429925254062,0.149470973936149,0.786485063313879
0.481427572417686,0.221606063350791,0.893865173629258
0.970541481166874,0.0569518638525098,0.811325528544542
0.838364179050933,0.0916634181586397,0.839393835430856
1.31275544663212,0.125264271240194,0.698632817577567
1.69302564647544,0.128088882066324,0.646697486127831
1.05857962275048,0.0180168965029796,0.794689755091064
1.21374710510167,0.0952221901428885,0.777048658137092
0.703419815125295,0.189625699958956,0.839255069669722
0.888236755488983,0.0707358317093759,0.78079053418337
0.699928945170294,0.0905721079768269,0.880149153224265
1.33566843963423,0.0888987130160679,0.768434736540528
1.29414741269725,0.0537629168142514,0.764700470418681
1.15830179345591,0.0752449897758106,0.764764054943967
1.49832171292551,0.0362453717915775,0.731675911009042
1.36792715204746,0.148558186219652,0.714539409005121
0.811274625709754,0.269336949756204,0.855645084393282
1.43805346350654,0.14889759943463,0.731506074774731
1.42594870009369,0.097824714138504,0.701434526781052
1.63273183482483,0.134594598133288,0.710303081116958
1.93752449437304,0.0137650657294186,0.591584212821872
1.63201663900964,0.0493260925233127,0.714881789131789
1.37735773450578,0.135962644662328,0.703411340545698
0.967369228814688,0.0913846485346393,0.791874090186169
0.850893887495019,0.0346853998252732,0.829137773595378
1.05773433454723,0.114858551314611,0.797213509480976
0.908859195470277,0.149596713841992,0.813145724615486
1.35118093588452,0.0761226867284699,0.726259940055811
1.03769511884106,0.138786457922263,0.766074139125099
0.921654754685166,0.101672607309035,0.832669797624334
1.29290885018662,0.0499466307122132,0.708541738010229
0.467972470734634,0.227773874540709,0.912233220042267
1.05223236159335,0.193059900676262,0.802508941142389
1.79974394987932,0,0.653628954988584
1.52122676905837,0.0635145005545346,0.693548193179216
0.888444380156817,0.0940445332374774,0.840894631060742
1.13528521445265,0.0466481177008876,0.758860404746677
0.943803475999233,0.0622929600548822,0.797987269691945
1.41326437833109,0.151084610657949,0.747631361012306
0.877355728281787,0.0560557783791098,0.79895606592993
1.38557795219169,0.0785164836660568,0.745485313704686
0.970452291441815,0.0718568549359185,0.774313420594927
1.52621992566224,0.0351310426940871,0.674163124324884
1.34436254856638,0.12314773786652,0.75177944081123
0.857336498355405,0.108999077818234,0.835380856690591
1.25382734556607,0.169337849484535,0.717606453701335
0.919479587552889,0.102994733423278,0.827812811319684
1.22681152332797,0.131433919017954,0.764074707052313
0.98448988356016,0.0343733412815918,0.766043278621635
1.36970748333321,0.082365677367913,0.734346880656865
0.949266147563837,0.0546071370418371,0.815029979040562
1.24384372401623,0.0650689655005062,0.720610124884046
1.59848045311048,0.112201784814135,0.73269557640293
0.700246468607692,0.108679584012664,0.853871771993386
0.694353805932732,0.1395498113712,0.847058633054464
1.31261452297385,0.0606612458254688,0.747574130197337
1.01222433482975,0.0974449134038425,0.783897452000481
0.924010635200931,0.15691579878989,0.835115875231811
