"kappa","beta","tau","psi"
0.517380785012998,0.507993512815044,0.944003184514576,0.595300706908466
0.780105807632722,0.772617914726517,0.455840660777367,2.96731956060013
0.414604223746842,0.312768293100968,1.11927672419604,0.512319783597901
0.540979241557278,0.531430989193855,0.900139707306178,0.330652493315672
0.578304280174809,0.481655499019105,0.874175227197621,0.701099516061982
0.542908226126786,0.576153011634749,0.945265788369806,0.637776692620339
0.33404654380794,0.548066148042202,1.25465631146584,0.281508500557379
0.539911471893984,0.523239979860335,0.892111655997565,0.537902547284256
0.451055212095178,0.317421119748323,1.04464193138288,0.365508261711617
0.404710470399328,0.433292522253533,1.17748268955013,0.360068066682929
0.465851393535546,0.372865786077059,1.07310455038709,0.477914320337233
0.561230306076813,0.590791781580246,0.930191751117157,0.786672104289836
0.425678047684162,0.488061502606756,1.20550177791094,0.226711815910084
0.551689729725381,0.454968936513374,0.906931676765555,0.785510814154437
0.440225442725275,0.405626980459762,1.22758560410347,0.451108864494569
0.366372559390468,0.257405486642484,1.28753095931857,0.354250674416118
0.63681011497613,0.628576412969097,0.725290200392669,1.4913257576222
0.765548609321616,0.786736176504113,0.437017392224508,1.84137448398448
0.436973330365248,0.509997689786757,1.05905316558297,0.480044477931826
0.548023425231046,0.496920887454056,0.908924891860367,0.595223370540946
0.359318433494428,0.319543207908721,1.30378698783884,0.175853925599902
0.773688463978325,0.779065615129706,0.417771095496012,2.9836804803769
0.559613431737378,0.594239387806195,0.859634581248639,0.743284121185089
0.384575970193757,0.164809356691986,1.19392261782411,0.373887753817604
0.464399905685906,0.617818450934767,0.990860174481073,0.226641670067853
0.395229155039286,0.261976388531515,1.19079379372765,0.298676649082155
0.459500175223389,0.348969869956272,1.15883162432105,0.503311646578031
0.375904259078422,0.302706990776861,1.16581084404151,0.412408433562509
0.433432153934836,0.401925824302964,1.22945222596141,0.321402210864621
0.462610350483097,0.375397549116222,0.995783020554821,0.39542322795175
0.456897774450888,0.258369999950288,1.01397185510019,0.4793175212748
0.407026860408004,0.283662682826978,1.17883060150889,0.428115648152151
0.715717272820683,0.603869611961342,0.560889820724792,1.60050304818378
0.759156072142167,0.753864316110315,0.456880931146309,1.37330250500096
0.320444775789896,0.343443206507518,1.49706015893486,0.185983380742536
0.577742725468062,0.527645460493421,0.840291976318557,0.547035310360612
0.752979307637111,0.797587807232979,0.4599525291797,2.12007063105945
0.578143409300062,0.518374556884601,0.863118584572073,0.83336025953102
0.539252040296996,0.438303685730464,0.958355756182249,0.586489285012362
0.510080403805508,0.490853466926737,0.970530720061289,0.496734997782252
0.297428973619029,0.209799408194851,1.40795233686747,0.173847909412504
0.559295332016605,0.556429438126755,0.900359636690077,0.79714722021643
0.493970631388962,0.348579922162423,0.972588446470415,0.468374205602362
0.778719202474656,0.774042752199168,0.412024844992191,3.73605260803979
0.654216531708872,0.590233587817746,0.743088673357634,1.31866371331212
0.508049185175705,0.39888319822749,1.04982303883505,0.573413167576344
0.695842255621101,0.835611616261484,0.626260795676153,1.32445634503159
0.494312063130881,0.562458098076712,0.966875335293756,0.576283796891425
0.500315582641636,0.416955614664291,1.04384074786162,0.356327036514221
0.69355801379162,0.693710375242373,0.644447496996224,1.30016122419058
0.49139104014224,0.454583299153165,1.0945264816139,0.270974352257267
0.53577940682268,0.516849535217819,0.983683436942741,0.568452597880717
0.618436700647954,0.748874964568593,0.782204763671694,0.71607894948237
