tau,kappa1,kappa2,beta,psi,tau_se,kappa1_se,kappa2_se,beta_se,psi_se,convergence,length
1.0827587493959419,0.39126838435631767,0.3701502588444027,0.23566219989337192,0.616369383952245,0.2441683932259701,0.07388616672175145,0.0553457337746219,0.08109227176859014,0.4962510256886461,0,500
1.9108873345588069,0.33003226528206175,0.3169780841690042,0.3655582080571187,0.2997089118728115,0.43485608717614566,0.10054760383046091,0.0682055400063692,0.13404658419743729,0.20983251138165698,0,500
1.1115464614146615,0.42301578520540617,0.3567484227378326,0.22915264351425318,0.5520360169413677,0.25331532407701807,0.07481510294161069,0.05567988334198778,0.08508766068472735,0.4669498258984872,0,500
1.405644086347688,0.49008676676896357,0.1979399618217168,0.43818218506881773,0.7740671999425771,0.30366571855209307,0.10938832906712541,0.08840804184224173,0.09145243401714225,0.4568572423693069,0,500
1.2659833101307219,0.47589657260949175,0.28573579700389,0.3468122721870653,1.0028625483261242,0.2911005696261208,0.08853118653908128,0.07103905524823856,0.08552007934197808,0.6302600695920942,0,500
1.7952473192489262,0.3249059543355868,0.3264403310504982,0.3045763048415249,0.3120463714303801,0.3586622376870178,0.08309195196194619,0.06100969348487629,0.09688157388174212,0.21391349832205148,0,500
1.5607388100146127,0.3308411918146572,0.3333770631470611,0.22657685855853343,0.4108032442154655,0.30698544453385057,0.07578434533192817,0.05434944365307746,0.105195133938298,0.2713347087325596,0,500
1.120215011513044,0.4700349428189129,0.30382758200292803,0.38971828058452207,1.212203938401793,0.28316865560853327,0.09799573318588813,0.07679659131606174,0.095482444739274,0.802569851014208,0,500
1.131910121457926,0.4870181876651038,0.29923679630660177,0.3088614582380424,1.1065361276540149,0.26721789742440116,0.0832946818674587,0.06648025154692525,0.08569802541156016,0.7327146958278902,0,500
1.8543290308128317,0.468401923961411,0.19219364397955518,0.3777977423060474,0.4550068419462425,0.3669558087752155,0.10306779777237603,0.08064150235833392,0.10236510334515152,0.26298457724505664,0,500
1.4518147532906256,0.5069802385821309,0.20711838173187458,0.3603703014691022,0.3257830208164541,0.32832144443649325,0.10930254605519404,0.0814869506925342,0.11110212036972911,0.27731978659046164,0,500
