tau,kappa,beta,tau_se,kappa_se,beta_se,convergence,length
1.748561686148539,0.6747747882613294,0.10273321552936998,0.05580122729478977,0.012859633822412066,0.03066419490449537,0,1000
1.7436774474901948,0.6532006887083887,0.09857689580680189,0.05282734366732806,0.013199779948302208,0.03102601025287518,0,1000
1.822214297800886,0.6593239168506357,0.06376273817743172,0.053269634102713716,0.01250700748977992,0.027673831555334174,0,1000
1.7283676208182375,0.6549368219335525,0.09593216622574977,0.052485910177060745,0.013134654121116269,0.03079969211575251,0,1000
1.8791878191541727,0.6364549686231302,0.030483756368594857,0.05291457984170133,0.012847633214761189,0.027579749342367458,0,1000
1.7357975183498753,0.6684274287212081,0.10792809004138083,0.05591404414292475,0.01318334930819379,0.032048031806570475,0,1000
1.8308744964204835,0.6667955061790704,0.08590092299603674,0.05263561908423046,0.012203766090805316,0.026932147718529354,0,1000
1.8064011295218212,0.6455945089659186,0.11007772486144468,0.05411526630947699,0.013501131058589423,0.031841364706188834,0,1000
1.7785461839905938,0.680896425419979,0.09755532286467006,0.05429385172406994,0.012220343023315502,0.028072921370270527,0,1000
1.9506392972676556,0.647204399801585,0.01525142076833092,0.055540493378730224,0.012572437151704365,0.026227759709113795,0,1000
1.7763564399990672,0.6467348069450923,0.07229502153866317,0.0512103283253455,0.012962232274613794,0.028848555863110737,0,1000
1.7151545365417622,0.6689579162529369,0.12496297369768038,0.05543983972793478,0.013350118712452412,0.03272555909656374,0,1000
1.7885521124191817,0.6581726202114216,0.1104376168235924,0.05632166150202205,0.01352798626731022,0.03251158037095433,0,1000
1.7352212633166126,0.6482435064922066,0.0979624413611298,0.05437957633833986,0.013727997917402755,0.03305027318012622,0,1000
1.750258279296289,0.6657006067737878,0.0880079940754814,0.05215345776364499,0.012478888103022353,0.02845606582141317,0,1000
1.7960955435266168,0.6510401670452078,0.0459581214270409,0.053542818406701144,0.012892413113302336,0.028701746302611717,0,1000
1.8055483113523318,0.6396459232523195,0.0925304361487761,0.05646438270990553,0.014150249898763612,0.034005521092582695,0,1000
1.7750341930279936,0.6694866862627429,0.11929114719788095,0.055203739529024964,0.013041062143399923,0.03090170590939563,0,1000
1.8739856148379688,0.6528288322486467,0.0508697346941885,0.057320429255086555,0.013173361172640102,0.029708090830091124,0,1000
1.808870834245558,0.6697619467976651,0.08207305348062494,0.05454107767159741,0.012456468077260812,0.028304568747954784,0,1000
1.7622082467701545,0.6479394349812029,0.07949406880184749,0.053065140228569424,0.01324816899681969,0.03068558094698634,0,1000
1.691892643854248,0.6561509192363044,0.12351627501599405,0.05054205584304296,0.01307740373715927,0.030829553458652723,0,1000
1.7977682724992958,0.6592311264413476,0.08588473059955305,0.05459403678824874,0.012946645330830689,0.02997279793933049,0,1000
1.8029755527917266,0.6659150048914725,0.10245136840876405,0.05605721659194568,0.013048429764550597,0.030731413027013106,0,1000
1.8521857621415136,0.6398659269464801,0.04833822324270723,0.058599930976362735,0.014049552442717272,0.03270476805589957,0,1000
1.8306413152567131,0.6692168083809301,0.09683109760324457,0.05542320935152817,0.012715630862557562,0.029053650564360562,0,1000
1.8915006215768317,0.6809833971762772,0.07221783235996554,0.0613629134227902,0.012751354040787468,0.029514947816168906,0,1000
1.6870810311688733,0.6552430002451257,0.12026445052238868,0.05061014599575155,0.01312683640765253,0.03103653065127581,0,1000
1.8073188111034086,0.6601215238632588,0.11124766771233283,0.05755747595444597,0.01363486152878177,0.032796092127898094,0,1000
1.8849827974849893,0.6362053094837994,0.02336883908282164,0.05467230102954265,0.01314671369744199,0.02853352993482732,0,1000
1.771549866759666,0.6738604187342692,0.1017693513611409,0.05487596447783511,0.012639671446507758,0.029619743029905516,0,1000
1.8036550638160898,0.6552257528672353,0.07691338011764645,0.05369712422683903,0.012905520485765183,0.029353466679749297,0,1000
1.7442223003873465,0.6482856044166819,0.08406114237318689,0.057517134866083494,0.014233168363588946,0.03483249671699805,0,1000
1.7178686078128536,0.6798079283051098,0.08636101268156166,0.05325816022823843,0.01222761645952875,0.028299573223918885,0,1000
1.806777861791897,0.6385377710721419,0.06463881834724625,0.052154538231880876,0.013118766126529452,0.029509889953422307,0,1000
1.793501425852757,0.671675636296905,0.10781204288528927,0.055165099674460816,0.012724311213370145,0.02979196794408552,0,1000
1.713778030973801,0.6602944565208035,0.08579493267203095,0.05143695980918852,0.012702692851252268,0.029294538166719362,0,1000
1.7622065676819154,0.651811004824642,0.05648764247943981,0.053775194114683095,0.013142488567769868,0.02993505995435488,0,1000
