tau,kappa,beta,tau_se,kappa_se,beta_se,convergence,length
1.0618639032781085,0.7831214736969488,0.06261460906118019,0.1732910510933674,0.03218379394413448,0.06851004310476788,0,500
0.9174205621013662,0.8481281314944721,0.08801884703128332,0.15978399712406474,0.025872700073226583,0.05782028679857476,0,500
1.0638160619513852,0.79834882112052,0.0060467850977709145,0.170902516357488,0.029835981086138868,0.06108782545147449,0,500
0.969301633031833,0.7903828117784997,0.10686590750603074,0.14904636469130758,0.030744192747295163,0.05511278057064227,0,500
0.9332322858727464,0.8205823677123623,0.023208222888560528,0.15308928085013548,0.027591870624486935,0.056619071590804496,0,500
1.0199117646110984,0.8052836253110154,0.10513532939878217,0.16330930402316404,0.0302130547261507,0.06106242698981496,0,500
0.715809517010727,0.8531141225207509,0.14086827787848696,0.14412041698141187,0.027214488425625728,0.05230289164201007,0,500
1.075885401351727,0.787723987181985,0.08634003013795448,0.1653478962647236,0.030934574646552998,0.058409781163158106,0,500
1.110053055102785,0.7611944775578268,0.06832596087642408,0.16541576768487737,0.03270433555309031,0.05820300671674906,0,500
0.9702343890029362,0.8437560882387172,7.899281986397676e-7,0.15186903675041644,0.024012628691141243,3.694867981673566e-4,0,500
0.7055336620754523,0.858950891836967,0.21619102407942214,0.1491502628317761,0.02806472919591796,0.05513739970526581,0,500
0.9024636375757946,0.8011559876701605,0.18550920796986578,0.15864057907949886,0.03228318888022917,0.05484646291060274,0,500
1.0125709507330611,0.8241202883579037,0.15320573005651367,0.16945375112768368,0.029127454355458098,0.05330303251038096,0,500
1.225449297915541,0.7101922619405904,0.05043425112971895,0.16651670978318167,0.036001418030781905,0.06764889586657344,0,500
0.6887215189705985,0.8535088538407842,0.11582898518485239,0.12928777053324272,0.025597302555431974,0.052251074769656077,0,500
1.0180582203154651,0.7933076926767858,0.10277984273452474,0.15841065000672477,0.030390724465065126,0.05751991634266908,0,500
1.1025930837906237,0.7839618491093411,0.14979505159398995,0.17271472315701258,0.03250633031004922,0.061939944240114425,0,500
1.0163832596437945,0.7877371102702311,0.1071406731058415,0.15833256595253425,0.031192045488063685,0.057711913822681905,0,500
0.8810975001705148,0.8290115809690495,0.195217860606824,0.1574674439154393,0.02922227082677322,0.05173964401892499,0,500
1.0684560811949657,0.8298044386631248,0.07008590993819165,0.17545068534504776,0.027392261131439086,0.05831039419042126,0,500
1.1611903402574935,0.773296445534791,0.08822660076151924,0.17270510693289776,0.03161842400912773,0.05772968492159265,0,500
1.0520568089069857,0.7562909686219114,0.18417574987588595,0.15178071822947853,0.03501397435227395,0.056243547608306466,0,500
0.8644887713497198,0.8158993151935389,0.06835786838123759,0.14631406947017164,0.028965547875047973,0.05901751492393253,0,500
0.9270627535889423,0.8079345022777356,0.1353511439955513,0.15779564201184915,0.030694656212401594,0.05571079320490692,0,500
0.8231160637388446,0.8617072202347372,0.2450173018236277,0.16876827699620675,0.02770041767384148,0.053273946785696795,0,500
1.226010554110092,0.767322928571625,0.11564140043421454,0.1848897574883217,0.03340061033460155,0.0635596373906901,0,500
1.0262795901547654,0.8020769192330355,0.1363359237383584,0.17352481285758228,0.03138046583836985,0.05848519484282865,0,500
0.8733694781588216,0.823367295658077,0.1883248378727282,0.1619263959728299,0.030525239878524988,0.055864455373548554,0,500
1.083635168721891,0.8009786308745338,0.11615571203464785,0.1655911669349011,0.030174627867474605,0.05343675247270338,0,500
1.23846967387543,0.7267910977441884,0.08752315664392855,0.16341120692711372,0.03506244884318553,0.06449548898978608,0,500
0.9795149119712256,0.8233386883775285,0.19922045368633648,0.17633533983805003,0.030237531979396298,0.049999766729232745,0,500
0.7795823711829983,0.8437377306692568,0.12112829398328012,0.14120192321505953,0.027009857871279578,0.056815742214707934,0,500
1.285580791641769,0.748624262399895,0.14856340284739597,0.18951401806828735,0.03510362543155222,0.059635936425146224,0,500
1.1843664332763204,0.789787387647108,0.06332604703816792,0.18171865899666684,0.030510402917524725,0.061577621201897026,0,500
1.5357450707343367,0.7285788124146217,0.05791679449728137,0.21463640486694358,0.03515086367019129,0.0677535100393149,0,500
1.1148578151904103,0.784104634948763,0.03327189225470663,0.17413510786703412,0.030492408743380058,0.05046505074284676,0,500
1.172280159452772,0.757222233011837,0.10905621498636543,0.16065341975566064,0.033783666006896945,0.0642350543559079,0,500
1.0819843493874477,0.7706139942874946,0.05171962820267399,0.16032304392659708,0.03169661838624159,0.058738214585773024,0,500
