tau,kappa1,kappa2,beta,tau_se,kappa1_se,kappa2_se,beta_se,convergence,length
2.474279839762472,0.3389321271262477,0.14716734579207993,0.3556360572216294,0.537791932616419,0.14863340211853468,0.1068120095648459,0.19793945602202168,0,250
1.9570211463332612,0.24631243981190962,0.3543668551781267,0.2632881844109688,0.5852952766446043,0.13591999822268605,0.08465980147266787,0.16807184938730757,0,250
1.4851773436839537,0.4516691931046924,0.25399716639649367,0.34697619942643754,0.42381497511276583,0.13532594465292375,0.09880238843125386,0.1235876280676457,0,250
1.33815954805085,0.5858332273726219,0.14057825099772278,0.5183413680309467,0.46133792825242814,0.1973515668570232,0.1535332258179471,0.13086472195123808,0,250
2.058909894907343,0.3556353453248745,0.25215562265322045,0.14046652270023316,0.4061278115267255,0.09937986568673868,0.06983381880594583,0.14801392555645682,0,250
0.8468142866256477,0.5751214797907763,0.24924388575363712,0.5510012102543755,0.37170693434194474,0.1846732832948549,0.1477091151001142,0.10639830680277178,0,250
1.4987722314909058,0.35006761378474677,0.35308048563101163,0.14648307655529302,0.3890074656642601,0.10687765021034804,0.06981518706268074,0.12403525984429788,0,250
1.9803387663986158,0.27476873980498695,0.31515055034838285,0.1320745308116196,0.498672074515708,0.11376603915932537,0.06729708485978718,0.20775548169089933,0,250
2.7215817452319677,0.09839793215157355,0.39077106475098783,0.1862417252448036,0.5663514638004012,0.10572600797614516,0.078796080657429185,0.1450577086230215,0,250
1.8466508092433063,0.39635033750484255,0.2194612570705869,0.40315417496450545,0.7786063563698646,0.2614940118701518,0.13826431124674646,0.3549630983218646,0,250
1.211321162396461,0.5472419948006937,0.22379100537073007,0.3742316037512876,0.3368102637469632,0.14153952088314203,0.10741483295716074,0.12479600475216159,0,250
1.2759976253222667,0.3497704391866815,0.3768717676517336,0.36391581098290987,0.4074478856404581,0.14143038265009847,0.09883419607131448,0.10020358697644721,0,250
1.950648674418755,0.25050320913708324,0.348770256307839,0.3517521014683879,0.6459311162343503,0.15321996045088776,0.09595502995231399,0.18565366373290784,0,250
1.8160228209686182,0.36771924266776984,0.24605398603431777,0.4559368079932581,0.5305630048952603,0.16536592754552212,0.11499936314650445,0.15748081392502203,0,250
